lu1,word_1,senseDescription_1,relation,lu2,word_2,senseDescription_2
15585,crush,an intense infatuation,hypernym,15626,crowd,a large number of people gathered together
25901,function,an essential activity for which an instrument was created,hyponym,16196,celebration,an event honoring a special occasion
22108,relationship,"the way in which two or more people or things are connected, or the state of being connected.",hypernym,25529,state,general descriptive term of a phase of matter. 
15626,crowd,a large number of people gathered together,hyponym,15653,huddle,a number of people or things crowded together. 
15626,crowd,a large number of people gathered together,hyponym,15585,crush,an intense infatuation
15626,crowd,a large number of people gathered together,hyponym,23852,army,an organized military force equipped for fighting on land.
23852,army,an organized military force equipped for fighting on land.,hypernym,15626,crowd,a large number of people gathered together
23114,party,a participant in an event.,hyponym,16202,dance,a social gathering at which people dance. 
23114,party,a participant in an event.,hyponym,16194,shindig," a large, lively party. "
23114,party,a participant in an event.,hyponym,16205,dinner,"a formal evening meal, typically one in honour of a person or event. "
15631,assemblage,a collection or gathering,antonym,21171,dismantlement,the act of taking something apart.
21044,fabrication,"construction or manufacturing  of an industrial product, especially from prepared components",antonym,21171,dismantlement,the act of taking something apart.
15632,band,a group of animals or people,hyponym,17520,neckband,a strip of material round the neck of a garment
15632,band,a group of animals or people,part_holonym,16381,garment,an item of clothing
24694,multiplicity,a large number or variety.,hypernym,25624,number,"A calculated count; also, an estimate. Ex: The number was at least 1000. Ex: The number of peaches was 175."
25842,family,the taxonomic rank between Order and Genus,hypernym,15715,relative,a person connected by blood or marriage
15639,corps,a body of people engaged in a particular activity,hypernym,16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. "
15640,set,a group or collection of things belonging or used together or resembling one another,hyponym,15658,quintet,a set of five people or things
15640,set,a group or collection of things belonging or used together or resembling one another,hyponym,17851,score,a group or set of twenty
15644,school,"a large group of fish or sea mammals, or a group of people sharing similar ideas, methods, or style. ",hypernym,16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. "
15653,huddle,a number of people or things crowded together. ,hypernym,15626,crowd,a large number of people gathered together
15658,quintet,a set of five people or things,hypernym,15640,set,a group or collection of things belonging or used together or resembling one another
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,15644,school,"a large group of fish or sea mammals, or a group of people sharing similar ideas, methods, or style. "
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,17587,university,a high-level educational institution in which students study for degrees and academic research is done.
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,23857,militia,"a military force composed of citizens, as opposed to professional full-time soldiers."
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,15639,corps,a body of people engaged in a particular activity
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,22790,membership,the body of members
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,17040,church,a building used for public Christian worship. 
16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. ",hyponym,17604,college,(in Britain) any of the independent institutions into which some universities are separated.
23990,force,physical power or strength,hypernym,25471,intensity,the quality or condition of being intense
25787,book,the records of the accounts of a business (usually plural); any other binded pages which contain recorded data,hypernym,25253,product,a number that results from multiplication
15671,mother,a woman in relation to a child or children to whom she has given birth,hypernym,22944,inspiration,an event of sudden creativity
26277,sister,"member of the same sororal organization, especially women' s religious organization or labor union.",hypernym,16155,member,a man' s penis
15689,son-in-law,the husband of a person' s daughter,hypernym,15705,in-law,a relative by marriage
15690,daughter-in-law,the wife of one' s son,hypernym,15705,in-law,a relative by marriage
15697,brother-in-law,"the brother of one' s wife or husband, or the husband of one' s sister or sister-in-law. ",hypernym,15705,in-law,a relative by marriage
15705,in-law,a relative by marriage,hypernym,15715,relative,a person connected by blood or marriage
15705,in-law,a relative by marriage,hyponym,15689,son-in-law,the husband of a person' s daughter
15705,in-law,a relative by marriage,hyponym,15697,brother-in-law,"the brother of one' s wife or husband, or the husband of one' s sister or sister-in-law. "
15705,in-law,a relative by marriage,hyponym,15690,daughter-in-law,the wife of one' s son
15712,kinsman,pl. -men or -women (in anthropological or formal use) one of a person' s blood relations,hypernym,15715,relative,a person connected by blood or marriage
15714,kinswoman,one of a person' s female blood relations,hypernym,15715,relative,a person connected by blood or marriage
15715,relative,a person connected by blood or marriage,hyponym,15712,kinsman,pl. -men or -women (in anthropological or formal use) one of a person' s blood relations
15715,relative,a person connected by blood or marriage,hyponym,15714,kinswoman,one of a person' s female blood relations
15715,relative,a person connected by blood or marriage,hyponym,15705,in-law,a relative by marriage
15715,relative,a person connected by blood or marriage,hyponym,25842,family,the taxonomic rank between Order and Genus
15724,offspring,"a person' s child or children, or the young of an animal.",hyponym,22064,spat,a petty quarrel.
15728,kinship,"The relations between anthropomorphic entities which constitute a classification as ""kinship""",hyponym,13579,sympathy,feelings of pity and sorrow for someone else' s misfortune
16294,flicker,the emission of light unsteadily from a source,hypernym,16296,flash,a sudden brief burst of light
16296,flash,a sudden brief burst of light,hyponym,16294,flicker,the emission of light unsteadily from a source
15777,implement,"a tool, utensil, or other piece of equipment, used for a particular purpose. ",hyponym,19639,stick,"a long, thin object or piece of something"
15777,implement,"a tool, utensil, or other piece of equipment, used for a particular purpose. ",hyponym,15780,utensil,"a tool or container, especially for household use. "
15780,utensil,"a tool or container, especially for household use. ",hypernym,15777,implement,"a tool, utensil, or other piece of equipment, used for a particular purpose. "
15781,instrument,"a tool or implement, especially for precision work",hyponym,25455,engine,the component of the vehicule that provides the necessary power for the motion of the vehicule. 
23532,equipment,the process of supplying needed resources,hyponym,23542,material,the matter from which a thing is or can be made
15790,system,a complex machine whose parts are working together as a mechanism or interconnecting network,part_meronym,23765,infrastructure,"the basic facilities, installations, or other components needed for the operation of a system or organization"
15791,gear,apparatus or equipment,hyponym,16596,third,one of three parts.
15791,gear,apparatus or equipment,hyponym,17600,park,"a large public garden in a town, used for recreation."
23110,player,a person that is involved and influential in an activity.,hypernym,23105,participant,somebody who participates in an event
24676,range,a set of different things of the same general type.,hypernym,24685,assortment,a miscellaneous collection.
25626,degree,"Extent, amount, often used of abstract entities: degree of involvement, degree of participation",hypernym,25529,state,general descriptive term of a phase of matter. 
25621,level,An amount or quantity of substance.,hypernym,23612,rank,a level within a hierarchy of merit
15796,test,a short examination of proficiency,hypernym,15998,attempt,an act of attempting
21713,assessment,"the action of assessing; evaluating, judging",hypernym,17958,charge,an accusation of wrongdoing.
15811,length,the measurement or extent of something from end to end; the greater or greatest of two or more dimensions of a body.,hypernym,25625,extent,"amount, usually of something that is not measured numerically.: I will help you to the extent that I can, but I can' t promise you that I will succeed. "
17434,region,an area of a country or the world having definable characteristics but not always fixed boundaries. ,hyponym,17518,sole,the section forming the underside of a piece of footwear.
17432,area,a region of an expanse,hyponym,17522,territory,an area under the jurisdiction of a ruler or state. 
23513,area,a subject or range of activity.,hyponym,17524,province,a principal administrative division of a country or empire. 
23513,area,a subject or range of activity.,hyponym,17558,land,territory controlled by a government
25196,work,the product or result of one' s effort.,hypernym,25253,product,a number that results from multiplication
24667,work,activity involving mental or physical effort done in order to achieve a result.,hyponym,21606,investigation,a systematic search or inquiry into an incident
24667,work,activity involving mental or physical effort done in order to achieve a result.,hypernym,17687,activity,an action taken in pursuit of an objective
24667,work,activity involving mental or physical effort done in order to achieve a result.,hyponym,20740,duty,a moral or legal obligation; a task required as part of one' s job. 
24667,work,activity involving mental or physical effort done in order to achieve a result.,hyponym,24481,procedure,a series of actions conducted in a certain order or manner.
24879,possibility,a thing that is possible; the state or fact of being possible. ,hyponym,25358,chance,an exhaustible state of being able to pursue or attain a situation
25358,chance,an exhaustible state of being able to pursue or attain a situation,hypernym,24879,possibility,a thing that is possible; the state or fact of being possible. 
15956,improbability,the extent to which something is improbable,antonym,25363,probability,likelihood of an event occuring
25363,probability,likelihood of an event occuring,antonym,15956,improbability,the extent to which something is improbable
19287,misfortune,an unfortunate event. ,hyponym,21521,hardship,a difficulty or challenge
19287,misfortune,an unfortunate event. ,hypernym,19289,trouble,difficulty or problems. 
19287,misfortune,an unfortunate event. ,hyponym,13832,pity,the feeling of sorrow and compassion caused by the sufferings of others
17177,incident,an occurence,part_holonym,17176,episode,an occurance 
15997,victim,"a person harmed, injured, or killed as a result of a crime, accident, etc.",hyponym,15992,casualty,"any person or thing that is harmed, killed, or destroyed as a result of some act or event"
15992,casualty,"any person or thing that is harmed, killed, or destroyed as a result of some act or event",hypernym,15997,victim,"a person harmed, injured, or killed as a result of a crime, accident, etc."
15998,attempt,an act of attempting,hyponym,19192,essay,1. a piece of writing on a particular subject.
15998,attempt,an act of attempting,hypernym,17687,activity,an action taken in pursuit of an objective
15998,attempt,an act of attempting,hyponym,16007,stab,an attempt to do.
15998,attempt,an act of attempting,hyponym,15796,test,a short examination of proficiency
15998,attempt,an act of attempting,hyponym,16580,contribution,something that is given towards an effort or cause
16007,stab,an attempt to do.,hypernym,15998,attempt,an act of attempting
22980,transgression,an act that defies moral precepts.,hypernym,17682,action,a thing done.
16033,conformity,"compliance with conventions, rules, or laws.",hypernym,23626,convention,"an agreement between states, especially one less formal than a treaty.  "
21479,possession,the criminal act of possessing an illegal item or items,hypernym,25798,control,a subject or group of subjects in an experiment which are left untreated and are then compared with treated subjects in order to validate or invalidate a hypothesis
16050,possession,a thing owned or possessed,hyponym,16060,belongings,things (generally small and portable) owned by s.o.
16050,possession,a thing owned or possessed,hyponym,16061,assets,"property owned by a person or company, regarded as having value and being available to meet debts, commitments, or legacies."
16051,ownership,the state of owning s.t.,hypernym,25529,state,general descriptive term of a phase of matter. 
16060,belongings,things (generally small and portable) owned by s.o.,hypernym,16050,possession,a thing owned or possessed
16061,assets,"property owned by a person or company, regarded as having value and being available to meet debts, commitments, or legacies.",hypernym,16050,possession,a thing owned or possessed
16061,assets,"property owned by a person or company, regarded as having value and being available to meet debts, commitments, or legacies.",hyponym,25622,amount,a quantity
16655,face,"the surface of a thing, especially one that is presented to the view or has a particular function.",hypernym,16641,front,the side or part of an object that presents itself to view or that is normally seen or used first.
16085,face,"the front part of a person' s head from the forehead to the chin, or the corresponding part in an animal. ",hyponym,16112,muzzle,"the projecting part of the face, including the nose and mouth, of an animal such as a dog or horse"
16654,foot,the lower or lowest part of something vertical; the base or bottom. ,hypernym,16640,bottom,"the lowest point, position, or part of something. "
16731,foot,a unit of linear measure equal to 12 inches (30.48 cm). ,part_holonym,17500,leg,a part of a garment covering a leg or part of a leg. 
16093,hand,"the end part of the arm beyond the wrist, including the palm, fingers, and thumb. ",hypernym,16119,forepaw,each of the frontmost paws of an animal
16095,heel,the back part of the foot below the ankle.,hypernym,17117,terminal,a departure and arrival building for passengers at an airport.
16126,antenna,"a long, thin sensory appendage found in pairs on the heads of insects and some other arthropods.",hypernym,13917,sensitivity,the quality or condition of being sensitive to slight changes or influences
16112,muzzle,"the projecting part of the face, including the nose and mouth, of an animal such as a dog or horse",hypernym,16085,face,"the front part of a person' s head from the forehead to the chin, or the corresponding part in an animal. "
16119,forepaw,each of the frontmost paws of an animal,hyponym,16093,hand,"the end part of the arm beyond the wrist, including the palm, fingers, and thumb. "
16125,nose,"the part projecting above the mouth on a person or animal, containing the nostrils and used in breathing and smelling",hypernym,16641,front,the side or part of an object that presents itself to view or that is normally seen or used first.
19623,skin,the peel or outer layer of a fruit or vegetable or a thin outermost layer,hypernym,19633,surface,the outside part or uppermost layer of something.
16132,fingertip,the tip of the finger,hypernym,16652,tip,the pointed or rounded extremity of something slender or tapering.
22590,brim,the (sometimes projecting) edge or rim of a hollow vessel.,part_holonym,21446,vessel,a ship or large boat.  
17518,sole,the section forming the underside of a piece of footwear.,hypernym,17434,region,an area of a country or the world having definable characteristics but not always fixed boundaries. 
17518,sole,the section forming the underside of a piece of footwear.,part_meronym,19645,ball,a solid or hollow sphere.
16149,tentacle,"a long slender flexible appendage of an animal, used for grasping or moving about, or bearing sense organs.",hypernym,22667,grasp,a person' s understanding.
16155,member,a man' s penis,hyponym,26277,sister,"member of the same sororal organization, especially women' s religious organization or labor union."
16155,member,a man' s penis,hyponym,13162,pledge,a solemn promise or undertaking
16155,member,a man' s penis,hypernym,21184,associate,a partner or companion in business or at work
16155,member,a man' s penis,hyponym,25387,commissioner,the head of a public organization
17500,leg,a part of a garment covering a leg or part of a leg. ,part_meronym,16160,knee,a joint between the upper and lower leg that projects forward and is protected by the patella.
17500,leg,a part of a garment covering a leg or part of a leg. ,part_meronym,16731,foot,a unit of linear measure equal to 12 inches (30.48 cm). 
16160,knee,a joint between the upper and lower leg that projects forward and is protected by the patella.,part_holonym,17500,leg,a part of a garment covering a leg or part of a leg. 
16177,abduction,the action or condition of being taken away illegally by force or deception.,hypernym,25733,capture,the event of taking someone or something captive.
16194,shindig," a large, lively party. ",hypernym,23114,party,a participant in an event.
16196,celebration,an event honoring a special occasion,hypernym,25901,function,an essential activity for which an instrument was created
29804,dance,the expression or application of creative skill and imagination through body movement,hypernym,23515,art,"the expression or application of creative skill and imagination, especially through a visual medium such as painting or sculpture."
16202,dance,a social gathering at which people dance. ,hypernym,23114,party,a participant in an event.
16202,dance,a social gathering at which people dance. ,hyponym,16213,ball, a formal social gathering for dancing. 
16203,festival," day or period of celebration or an organized series of concerts, films.       ",hypernym,15079,period,a length or portion of time. 
16205,dinner,"a formal evening meal, typically one in honour of a person or event. ",hypernym,23114,party,a participant in an event.
16213,ball, a formal social gathering for dancing. ,hypernym,16202,dance,a social gathering at which people dance. 
19645,ball,a solid or hollow sphere.,part_holonym,17518,sole,the section forming the underside of a piece of footwear.
25458,part,a component of a vehicle that has a distinct function,hyponym,16591,segment,each of the parts into which something is or may be divided
25458,part,a component of a vehicle that has a distinct function,hyponym,19640,strip,"a long, narrow piece of cloth, paper, etc. "
25458,part,a component of a vehicle that has a distinct function,hyponym,16632,slice,"a thin, broad piece of food cut from a larger portion. "
25458,part,a component of a vehicle that has a distinct function,hyponym,16625,hunk,a large piece cut or broken from something larger
25458,part,a component of a vehicle that has a distinct function,hyponym,16635,fragment,a small part broken off or detached
25458,part,a component of a vehicle that has a distinct function,hypernym,18380,thing,an individuable object.
25458,part,a component of a vehicle that has a distinct function,hyponym,16651,base,"the lowest part or edge of something, especially the part on which it rests or is supported. "
25458,part,a component of a vehicle that has a distinct function,hyponym,17538,world,the earth with all its countries and peoples
25487,part,"an object that serves a distinct function in a complex artifact, especially of machines.",hypernym,24125,concern,a matter of interest or importance.
16580,contribution,something that is given towards an effort or cause,hypernym,15998,attempt,an act of attempting
16248,type,a category of people or things having common characteristics,hypernym,16250,kind,a class or type of people or things having similar characteristics
16248,type,a category of people or things having common characteristics,hyponym,21557,variant,a form or version that varies from other forms of the same thing or from a standard.
16248,type,a category of people or things having common characteristics,hyponym,16254,breed,"a sort or kind, esp. a distinctive stock of animals or plants within a species, typically one deliberately developed"
16254,breed,"a sort or kind, esp. a distinctive stock of animals or plants within a species, typically one deliberately developed",hypernym,16248,type,a category of people or things having common characteristics
16255,ilk,a type (usually negatively evaluated),hypernym,16250,kind,a class or type of people or things having similar characteristics
21557,variant,a form or version that varies from other forms of the same thing or from a standard.,hypernym,16248,type,a category of people or things having common characteristics
27222,lesson,"a unit of teaching activity or text, either for a single class period or pertaining to specific material to be learned together",hypernym,22088,admonition,warning about something that (the addressed individual) will probably do wrong.
21286,attack, an instance of attacking.,part_meronym,21466,assault,"an act that threatens physical harm to a person, whether or not actual harm is done."
21286,attack, an instance of attacking.,hyponym,21312,fire,attack by projectile weapons.
21286,attack, an instance of attacking.,hyponym,21294,charge,"a headlong rush forward, typically in attack."
16324,stocking,"a woman' s garment that fits closely over the foot and leg, typically made of fine knitted nylon yarn, held up by suspenders or an elasticated strip at the upper thigh.",hypernym,23900,provision,a condition or requirement in a legal document.
17505,skirt,the part of a coat or dress that hangs below the waist. ,part_meronym,17499,seat,clothing that covers a person' s buttocks. 
17505,skirt,the part of a coat or dress that hangs below the waist. ,part_holonym,16381,garment,an item of clothing
16344,hose,"stockings, socks, and tights",hypernym,16381,garment,an item of clothing
16370,apron,a protective garment covering the front of one' s clothes and tied at the back. [Clothing] ,hypernym,24804,site,"The place at which an event takes place; may be on any scale: the site of the factory, the instertion site of the hypodermic."
16381,garment,an item of clothing,part_meronym,15632,band,a group of animals or people
16381,garment,an item of clothing,hyponym,16455,silks,"garments made from silk, especially as worn by a jockey in the colours of a particular horse owner."
16381,garment,an item of clothing,part_meronym,17505,skirt,the part of a coat or dress that hangs below the waist. 
16381,garment,an item of clothing,hyponym,16344,hose,"stockings, socks, and tights"
16433,boot,"a sturdy item of footwear covering the foot and ankle, and sometimes the lower leg. ",hypernym,24006,shell,"ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot."
16434,shoe,a covering for the foot having a sturdy sole and not reaching above the ankle. ,hypernym,25617,plate,plate armor.
16436,clog,a shoe with a thick wooden sole. ,hypernym,21514,encumbrance,a burden or impediment.
16455,silks,"garments made from silk, especially as worn by a jockey in the colours of a particular horse owner.",hypernym,16381,garment,an item of clothing
16494,mastery,the mastering of a subject or skill,hypernym,24526,domination,"authority, rule or control over some entity or situation"
16497,pro,a professional,hypernym,22053,argument,a heated exchange of diverging or opposite views.
16508,whiz,a person who is extremly clever at something,hypernym,22451,sound,a thing that can be heard.
22678,art,an activity with an aesthetic component requiring knowledge and skill ,hyponym,17135,fortification,"building or structure for strengthening, securing, and fortifying a location."
16517,virtuosity,great skill in music or another artistic pursuit,hypernym,22680,science,a procedurally complex activity requiring methodical attention to detail
22680,science,a procedurally complex activity requiring methodical attention to detail,hyponym,16517,virtuosity,great skill in music or another artistic pursuit
16573,gift,a thing given willingly to someone without payment; a present. ,hyponym,16581,charity,a gift to or the act of giving to another
16581,charity,a gift to or the act of giving to another,hypernym,16573,gift,a thing given willingly to someone without payment; a present. 
16635,fragment,a small part broken off or detached,hypernym,25458,part,a component of a vehicle that has a distinct function
16591,segment,each of the parts into which something is or may be divided,hypernym,25458,part,a component of a vehicle that has a distinct function
16595,hundredth,one of one hundred parts.,hypernym,23612,rank,a level within a hierarchy of merit
16596,third,one of three parts.,hypernym,15791,gear,apparatus or equipment
18114,quarter,"a period of three months, used especially in reference to financial transactions",hypernym,15079,period,a length or portion of time. 
16621,scrap,"a small piece or amount of something, especially one that is left over after the greater part has been used",hypernym,16631,piece,"a portion of an object or of material produced by cutting, tearing, or breaking the whole. "
16624,snippet,a small piece or brief extract,hypernym,16631,piece,"a portion of an object or of material produced by cutting, tearing, or breaking the whole. "
16625,hunk,a large piece cut or broken from something larger,hypernym,25458,part,a component of a vehicle that has a distinct function
16628,chip,"a small, thin piece removed in the course of chopping, cutting, or breaking a hard material",hypernym,20757,blemish,a small mark or flaw which spoils the appearance of something. 
16631,piece,"a portion of an object or of material produced by cutting, tearing, or breaking the whole. ",hyponym,16621,scrap,"a small piece or amount of something, especially one that is left over after the greater part has been used"
16631,piece,"a portion of an object or of material produced by cutting, tearing, or breaking the whole. ",hyponym,16624,snippet,a small piece or brief extract
16632,slice,"a thin, broad piece of food cut from a larger portion. ",hypernym,25458,part,a component of a vehicle that has a distinct function
24229,cover,"protection, often from attack from above.",hyponym,16846,cap,"a soft, flat hat without a brim and usually with a peak. "
16640,bottom,"the lowest point, position, or part of something. ",hyponym,16654,foot,the lower or lowest part of something vertical; the base or bottom. 
16641,front,the side or part of an object that presents itself to view or that is normally seen or used first.,hyponym,16125,nose,"the part projecting above the mouth on a person or animal, containing the nostrils and used in breathing and smelling"
16641,front,the side or part of an object that presents itself to view or that is normally seen or used first.,hyponym,16655,face,"the surface of a thing, especially one that is presented to the view or has a particular function."
23785,peak,the pointed top of a mountain,hypernym,25896,limit,the boundary of the capabilities or possibilities of something.
23785,peak,the pointed top of a mountain,hyponym,24077,maximum,"the greatest amount, extent, or intensity possible or recorded."
16651,base,"the lowest part or edge of something, especially the part on which it rests or is supported. ",hypernym,25458,part,a component of a vehicle that has a distinct function
16652,tip,the pointed or rounded extremity of something slender or tapering.,hypernym,17117,terminal,a departure and arrival building for passengers at an airport.
16652,tip,the pointed or rounded extremity of something slender or tapering.,hyponym,16132,fingertip,the tip of the finger
17009,freeze,an act of freezing,hypernym,17005,pause,a temporary stop in action or speech. 
16738,block,one city street length,hypernym,21513,impediment,a hindrance or obstruction. 
16739,pint,"a unit of liquid or dry capacity equal to one eighth of a gallon, in Britain equal to 0.568 litre and in the US equal to 0.473 litre (for liquid measure) or 0.551 litre (for dry measure).",part_holonym,16754,quart,"a unit of liquid capacity equal to a quarter of a gallon or two pints, equivalent in Britain to approximately 1.13 litres and in US to approximately 0.94 litre."
16754,quart,"a unit of liquid capacity equal to a quarter of a gallon or two pints, equivalent in Britain to approximately 1.13 litres and in US to approximately 0.94 litre.",part_meronym,16739,pint,"a unit of liquid or dry capacity equal to one eighth of a gallon, in Britain equal to 0.568 litre and in the US equal to 0.473 litre (for liquid measure) or 0.551 litre (for dry measure)."
16846,cap,"a soft, flat hat without a brim and usually with a peak. ",hypernym,24229,cover,"protection, often from attack from above."
16870,headpiece,a device worn on the head. ,hypernym,16892,helmet,a hard or padded protective hat. 
16886,badge,"a small piece of metal, plastic, or cloth bearing a design or words, typically worn to identify a person or to indicate support for a cause. ",hypernym,25935,characteristic,sign of
16890,mitre,"a tall headdress worn by bishops and senior abbots, tapering to a point at front and back with a deep cleft between. [Eccl] ",hypernym,19633,surface,the outside part or uppermost layer of something.
16891,helm,a helmet.,hyponym,25453,wheel,the part of the vehicule which holds a tire. 
16892,helmet,a hard or padded protective hat. ,hyponym,16870,headpiece,a device worn on the head. 
16911,ablution,formal &or. humorous an act of washing. ,hypernym,19304,ritual,a religious or solemn ceremony involving a series of actions performed according to a prescribed order. 
16981,sneer,"a contemptuous or mocking smile, remark, or tone (in this frame, only the facial expression.)",hypernym,12969,contempt,the feeling that a person or a thing is worthless or beneath consideration
17005,pause,a temporary stop in action or speech. ,hyponym,17009,freeze,an act of freezing
18729,preparation,the act or process of making food ready for cooking and/or eating,hyponym,24869,groundwork,preliminary or basic work.
18729,preparation,the act or process of making food ready for cooking and/or eating,hyponym,22516,deployment,the arrangement (of troops or materiel) to make ready (for military action).
18729,preparation,the act or process of making food ready for cooking and/or eating,hypernym,17687,activity,an action taken in pursuit of an objective
17038,house,a building for human habitation,hyponym,17622,bathhouse,"a building for bathing, typically for public use."
17040,church,a building used for public Christian worship. ,hypernym,16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. "
17058,monastery,a building housing a order of monks.,part_meronym,17192,cell,a small room in which a prisoner is locked up or in which a monk or nun sleeps. 
17068,tent,"a portable shelter made of cloth, supported by one or more poles and stretched tight by cords attached to pegs driven into the ground.",hypernym,24133,web,a complex system of interconnected elements.
17071,arena,"a level area surrounded by seating, in which public events and entertainments are held. ",hyponym,15502,circus,for everyone
17377,bar,a sandbank or shoal at the mouth of a harbour or an estuary. ,hypernym,17413,ridge,"a long narrow hilltop, mountain range, or watershed"
21678,prevention,the act of preventing,hyponym,23881,interception,the act of intercepting
17132,structure,a building,hyponym,23765,infrastructure,"the basic facilities, installations, or other components needed for the operation of a system or organization"
17133,housing,houses and flats considered collectively,hyponym,24006,shell,"ammunition made from several materials, with a solid outer layer and an inner payload of explosives or shot."
17135,fortification,"building or structure for strengthening, securing, and fortifying a location.",hypernym,22678,art,an activity with an aesthetic component requiring knowledge and skill 
17143,smuggling,the act or instances of moving (goods) illegally into or out of a country,hypernym,24010,importation,the action of moving goods into an area.
17147,transaction,an instance of buying or selling.,hyponym,23238,exchange,an act or the action of exchanging.
17147,transaction,an instance of buying or selling.,hyponym,17316,deal,a large but unspecified amount; usually used with ' good'  or ' great' 
17175,event,a thing that happens or takes place.,hyponym,19268,make-up,cosmetics such as lipstick or powder applied to the face
17176,episode,an occurance ,part_meronym,17177,incident,an occurence
17176,episode,an occurance ,hyponym,19187,drama,a play. 
17192,cell,a small room in which a prisoner is locked up or in which a monk or nun sleeps. ,part_holonym,17058,monastery,a building housing a order of monks.
17227,studio,"a room where an artist works or where dancers practise, or a room from which television or radio programmes are broadcast, or in which they are recorded. ",antonym,25660,location,a region identified by where something is.
17274,abundance,a very large quantity of something,hypernym,25623,quantity,an amount 
25623,quantity,an amount ,hyponym,17274,abundance,a very large quantity of something
25624,number,"A calculated count; also, an estimate. Ex: The number was at least 1000. Ex: The number of peaches was 175.",hyponym,24694,multiplicity,a large number or variety.
19280,pinch,a difficult situation,hypernym,20504,difficulty,to state of being hard to deal with
25622,amount,a quantity,hyponym,15285,gain,an increase (in wealth or resources).
25622,amount,a quantity,hypernym,16061,assets,"property owned by a person or company, regarded as having value and being available to meet debts, commitments, or legacies."
25622,amount,a quantity,hyponym,24612,loss,"money spent by a company, cutting into profit."
23930,current,the flow of electrons providing power to electrical devices.,hypernym,24065,course,"the route or direction followed by a ship, aircraft, road, or river"
17316,deal,a large but unspecified amount; usually used with ' good'  or ' great' ,hypernym,17147,transaction,an instance of buying or selling.
23624,deal,an agreement entered into by two or more parties for their mutual benefit.,hypernym,21816,agreement,"a contract by which one party conveys land, property, services, etc. to another for a specified time. "
24699,interruption,the ceasing of a process by an event.,hypernym,22041,delay,a period of time by which something is late or postponed.
17399,burn,a small stream. (Scottish English),hypernym,20757,blemish,a small mark or flaw which spoils the appearance of something. 
17413,ridge,"a long narrow hilltop, mountain range, or watershed",hyponym,23780,bank,the land alongside or sloping down to a river or lake.
17413,ridge,"a long narrow hilltop, mountain range, or watershed",hyponym,17377,bar,a sandbank or shoal at the mouth of a harbour or an estuary. 
24131,cascade,"a succession of devices or stages in a process, each of which triggers or initiates the next.",hypernym,23249,succession,the action or process by which an entity or state of affairs replaces another. 
17428,cascade,a waterfall or succession of waterfalls,hypernym,23426,descent,the action of coming down (something).
17558,land,territory controlled by a government,hypernym,23513,area,a subject or range of activity.
25660,location,a region identified by where something is.,antonym,17227,studio,"a room where an artist works or where dancers practise, or a room from which television or radio programmes are broadcast, or in which they are recorded. "
24804,site,"The place at which an event takes place; may be on any scale: the site of the factory, the instertion site of the hypodermic.",hyponym,16370,apron,a protective garment covering the front of one' s clothes and tied at the back. [Clothing] 
17442,point,a particular spot or location. ,hyponym,12758,position,a way in which someone or something is placed or arranged.
17499,seat,clothing that covers a person' s buttocks. ,part_holonym,17505,skirt,the part of a coat or dress that hangs below the waist. 
17520,neckband,a strip of material round the neck of a garment,hypernym,15632,band,a group of animals or people
17522,territory,an area under the jurisdiction of a ruler or state. ,hypernym,17432,area,a region of an expanse
17524,province,a principal administrative division of a country or empire. ,hypernym,23513,area,a subject or range of activity.
17538,world,the earth with all its countries and peoples,hypernym,25458,part,a component of a vehicle that has a distinct function
17575,center,a place or group of buildings where a specified activity is concentrated.,hyponym,24643,capital,the governmental or administrative head city of a region.
17587,university,a high-level educational institution in which students study for degrees and academic research is done.,hypernym,16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. "
17592,settlement,a place where people establish a community.,hypernym,21816,agreement,"a contract by which one party conveys land, property, services, etc. to another for a specified time. "
17600,park,"a large public garden in a town, used for recreation.",hypernym,15791,gear,apparatus or equipment
17604,college,(in Britain) any of the independent institutions into which some universities are separated.,hypernym,16075,body,"the physical structure, including the bones, flesh, and organs, of a person or an animal. "
17622,bathhouse,"a building for bathing, typically for public use.",hypernym,17038,house,a building for human habitation
17682,action,a thing done.,hyponym,13941,arrival,the act of arriving
17682,action,a thing done.,hyponym,23252,change,the process of changing
17682,action,a thing done.,hyponym,23099,employment,application or use in a particular situation.
17682,action,a thing done.,hyponym,23871,accomplishment,something that has been achieved successfully.
17682,action,a thing done.,hyponym,22980,transgression,an act that defies moral precepts.
17682,action,a thing done.,hyponym,23097,application,the action of putting something into operation.
17687,activity,an action taken in pursuit of an objective,hyponym,20736,help,assistance
